authors,title,journal,year,
"Libertus, Odic, Halberda",Intuitive sense of number correlates with math scores on college entrance examination,Acta Psychologica,2012,
"Defever, Sasanguie, Vandewaetere, Reynvoet",What can the same-different task tell us about numerical magnitude,Acta Psychologica,2012,
"Guillaume, Nys, Mussolin, Content",Differences in the acuity of the approximate number system in adults: the effect of mathematical ability,Acta Psychologica,2013,
"Linsen, Verschaffel, Reynvoet, De Smedt",The association between children's numerical magnitude processing and mental multi-digit subtraction,Acta Psychologica,2014,
"Maloney, Risko, Preston, Ansari, Fugelsang",Challenging the reliability and validity of cognitive measures: the case of the numerical distance effect,Acta Psychologica,2010,
"Price, Palmer, Battista, Ansari","Nonsymbolic numerical magnitude comparison: Reliability and validity of different task variants and outcome measures, and their relationship to arithmetic achievements in adults",Acta Psychologica,2012,
"Nieder, Dehaene",Representation of Number in the Brain,ARN,2009,
"Sasanguie, De Smedt, Defever, Reynvoet",Association between basic numerical abilities and mathematics achievement,BJDP,2012,
"Desoete, Ceulemans, De Weerdt, Pieters",Can we predict mathematical learning disabilities from symbolic and nonsymbolic comparison tasks in kindergarten? Findings from a longitudinal study,BJEP,2012,
"Booth, Siegler",Numerical Magnitude Representations Influence Arithmetic Learning,CD,2008,
"Feigenson, Libertus, Halberda",Links between the intuitive sense of number and formal mathematics ability,Cdevper,2013,
"Mazzocco, Feigenson, Halberda",Impaired acuity of the approximate number system underlies mathematical learning disability (Dyscalculia),CD,2011,
"Siegler, Booth",Development of Numerical Estimation in Young Children,CD,2004,
"Mejias, Mussolin, Rousselle, Gregoire, Neol",Numerical and nonnumerical estimation in children with and without mathematical learning disabilities,ChildN,2012,
"Bugden, Ansari",Individual differences in children's mathematical competence are related to the intentional but not automatic processing of Arabic numerals,Cognition,2011,
"Gilmore, McCarthy, Spelke",Non-symbolic arithmetic abilities and mathematics achievement in the first year of formal schooling,Cognition,2010,
"Hyde, Khanum, Spelke","Brief non-symbolic, approximate number practice enhances sunsequent exact symbolic arithmetic in children",Cognition,2014,
"Lyons, Beilock",Numerical ordering ability mediates the relation between number sense and arithmetic competence,Cognition,2014,
"Mussolin, Mejias, Noel",Symbolic and nonsymbolic number comparison in children with and without dyscalculia,Cognition,2009,
"Piazza, Facoetti, Trussardi, Berteletti, Conte, Lucangeli, Dehaene, Zorzi",Developmental trajectory of number acuity reveals a severe impairment in dyscalculia,Cognition,2010,
"Lyons, Price, Vaessen, Blomert, Ansari",Numerical predictors of arithmetic success in grades 1-6,DS,2014,
"Libertus, Feigenson, Halberda",Preschool acuity of the approximate number system correlates with school math ability,DS,2011,
"Booth, Siegler",Developmental and individual differences in pure numerical estimation,DP,2006,
"Gunerson, Ramirez, Beilock, Levine",The relation between spatial skill and early number knowledge: the role of the linear number line,DP,2012,
"Jordan, Kaplan, Ramineni, Locuniak",Early math matters: kindergarten number competence and later mathematics outcomes,DP,2009,
"Reigosa-Crespo, Valdes-Sosa, Butterworth, Estevez, Rodriguez, Santos, Torres, Suars, Lage",Basic numerical capacities and prevalence of developmental dyscalculia,DP,2012,
"Marle, Chu, Li, Geary",Acuity of the approximate number system and preschoolers' quantitative development,DS,2014,
"Lonneman, Linkersdorger, Hasselhorn, Lindberg",Developmental changes in the association between approximate number representations and addition skills in elementary school children,FP,2013,
"Hornung, Schiltz, Brunner, Martin","Predicting first-grade mathematics achievement: the contributions of domain-general cognitive abilities, nonverbal number sense, and early number competence",FP,2014,
"Fias, Lammertyn, Reynvoet, Dupont, Orban",Parietal representation of symbolic and nonsymbolic magnitude,JCN,2003,
